H/V,320,368,416,464,512,560,608,656,704,752,800
400,0,62.1158,136.625,218.646,307.409,408.372,530.306,697.765,1023.1,0,0
1010,285.672,347.109,412.696,490.675,576.168,668.402,772.836,899.273,1087.62,4022.74,0
1620,566.491,616.684,681.452,750.371,831.683,920.507,1016.07,1125,1271.41,2504.78,0
2230,843.514,883.523,936.928,1004.91,1077.04,1161.56,1253.6,1353.67,1481.78,2179.18,0
2840,1116.23,1147.84,1190.95,1247.46,1318.55,1393.78,1481.41,1577.97,1696.5,1841.28,0
3450,1384.56,1408.74,1443.36,1489.48,1548.99,1623.08,1701.32,1793.49,1907.84,2042.44,0
4060,1649.34,1665.96,1693.05,1730.58,1779.61,1842.03,1919.03,2001.82,2111.15,2230.39,3975.59
4670,1910.3,1920.17,1939.61,1969.52,2009.87,2061.72,2127.05,2208.53,2295.84,2421.96,3174.57
5280,2167.2,2171.02,2183.63,2205.8,2238.45,2281.53,2336.34,2406.02,2491.89,2595.41,2736.17
5890,2420.28,2416.96,2424.69,2439.95,2464.77,2500.07,2546.17,2605.21,2679.14,2780.66,2898.33
6500,2669.53,2657.91,2661.19,2671.49,2689.32,2716.71,2755.08,2805.28,2868.44,2957.49,3072.68
